text,label
This is a real news article about the economy and government policies. The stock market is rising today. Random id 58.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 776.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 684.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 50.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 132.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 406.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 225.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 504.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 63.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 426.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 16.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 363.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 475.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 707.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 425.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 675.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 352.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 596.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 523.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 427.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 625.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 546.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 31.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 916.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 234.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 570.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 648.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 70.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 668.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 927.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 141.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 49.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 126.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 995.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 590.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 827.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 925.,0
SHOCKING TRUTH! Aliens have invaded the earth and are controlling our minds through 5G towers! Click here to learn more. Random id 198.,1
This is a real news article about the economy and government policies. The stock market is rising today. Random id 872.,0
